1,New Orleans,4,6,1.5
2,Kansas City,5,11,2.2
3,Jacksonville,5,14,2.8
4,New England,5,20,4
5,Tampa Bay,4,17,4.25
6,LA Rams,5,22,4.4
7,Minnesota,5,26,5.2
8,LA Chargers,5,27,5.4
9,Denver,4,23,5.75
10,Buffalo,5,31,6.2
,Detroit,5,31,6.2
,Philadelphia,5,31,6.2
13,Dallas,5,32,6.4
14,Oakland,5,33,6.6
,Seattle,5,33,6.6
16,San Francisco,5,35,7
17,Carolina,5,36,7.2
,Baltimore,5,36,7.2
19,Green Bay,5,37,7.4
20,Atlanta,4,31,7.75
21,Tennessee,5,39,7.8
22,NY Giants,5,43,8.6
23,NY Jets,5,44,8.8
24,Chicago,5,46,9.2
,Pittsburgh,5,46,9.2
26,Washington,4,38,9.5
27,Arizona,5,49,9.8
28,Houston,5,51,10.2
29,Cincinnati,5,52,10.4
30,Miami,4,42,10.5
31,Cleveland,5,57,11.4
32,Indianapolis,5,68,13.6