"Tom Brady, NE",@NYJ,19th,5,195,133,"1,702",1,11,22,0,4,2,25.1,8300,3.02,Sun 1:00,,,,,,,,,,,,,,
"Aaron Rodgers, GB",@Min,7th,5,189,126,"1,367",3,13,83,0,1,1,24,7300,3.29,Sun 1:00,,,,,,,,,,,,,,
"Drew Brees, NO",Det,10th,4,152,105,"1,135",0,8,3,0,2,0,20.2,7200,2.8,Sun 1:00,,,,,,,,,,,,,,
"Matt Ryan, Atl",Mia,9th,4,135,88,"1,109",5,5,26,0,1,1,16,7000,2.28,Sun 1:00,,,,,,,,,,,,,,
"Kirk Cousins, Was",SF,20th,4,121,80,"1,004",1,7,77,0,5,2,19,6800,2.79,Sun 1:00,,,,,,,,,,,,,,
"Cam Newton, Car",Phi,22nd,5,145,99,"1,237",5,8,90,2,4,0,20.7,6700,3.09,Thu 8:25,,,,,,,,,,,,,,
"Deshaun Watson, Hou",Cle,27th,5,145,90,"1,072",4,12,179,2,3,1,24.2,6700,3.61,Sun 1:00,,,,,,,,,,,,,,
"Philip Rivers, LAC",@Oak,17th,5,194,116,"1,365",5,9,5,0,2,1,18.2,6600,2.76,Sun 4:25,,,,,,,,,,,,,,
"Carson Wentz, Phi",@Car,8th,5,177,110,"1,362",3,10,108,0,4,1,22.5,6600,3.4,Thu 8:25,,,,,,,,,,,,,,
"Matthew Stafford, Det",@NO,24th,5,173,111,"1,116",1,9,53,0,4,2,17,6500,2.61,Sun 1:00,,,,,,,,,,,,,,
"Alex Smith, KC",Pit,2nd,5,158,121,"1,391",0,11,108,1,0,0,24.5,6400,3.83,Sun 4:25,,,,,,,,,,,,,,
"Marcus Mariota, Ten",Ind,31st,4,110,66,792,3,3,116,3,0,0,17.6,6300,2.79,Mon 8:30,,,,,,,,,,,,,,
"Jameis Winston, TB",@Ari,25th,4,154,94,"1,198",3,7,30,0,5,0,21.2,6200,3.42,Sun 4:05,,,,,,,,,,,,,,
"Carson Palmer, Ari",TB,30th,5,227,136,"1,573",5,6,16,0,1,0,18.5,6100,3.03,Sun 4:05,,,,,,,,,,,,,,
"Sam Bradford, Min",GB,11th,2,43,32,382,0,3,-3,0,0,0,15,6000,2.5,Sun 1:00,,,,,,,,,,,,,,
"Derek Carr, Oak",LAC,13th,4,109,74,753,2,7,7,0,1,0,14.2,5900,2.41,Sun 4:25,,,,,,,,,,,,,,
"Jacoby Brissett, Ind",@Ten,29th,5,127,77,997,3,2,83,3,3,1,14.6,5800,2.52,Mon 8:30,,,,,,,,,,,,,,
"Andrew Luck, Ind",@Ten,29th,--,--,--,--,--,--,--,--,--,--,0,5700,0,Mon 8:30,,,,,,,,,,,,,,
"Ben Roethlisberger, Pit",@KC,26th,5,195,120,"1,269",7,6,-4,0,1,1,13.9,5700,2.43,Sun 4:25,,,,,,,,,,,,,,
"Derek Anderson, Car",Phi,22nd,1,7,2,17,0,0,0,0,0,0,0.7,5600,0.12,Thu 8:25,,,,,,,,,,,,,,
"Jimmy Garoppolo, NE",@NYJ,19th,--,--,--,--,--,--,--,--,--,--,0,5500,0,Sun 1:00,,,,,,,,,,,,,,
"Trevor Siemian, Den",NYG,21st,4,126,79,888,4,7,46,1,2,1,17.3,5500,3.14,Sun 8:30,,,,,,,,,,,,,,
"Joe Flacco, Bal",Chi,14th,5,144,92,823,6,4,-5,0,1,0,8.5,5400,1.57,Sun 1:00,,,,,,,,,,,,,,
"Josh McCown, NYJ",NE,32nd,5,147,105,"1,020",4,5,35,1,6,2,12.9,5200,2.47,Sun 1:00,,,,,,,,,,,,,,
"Brian Hoyer, SF",@Was,18th,5,194,115,"1,211",4,4,7,1,3,1,14.4,5100,2.83,Sun 1:00,,,,,,,,,,,,,,
"Jared Goff, LA",@Jax,1st,5,164,100,"1,360",3,7,23,0,3,1,16.7,5000,3.35,Sun 4:05,,,,,,,,,,,,,,
"Case Keenum, Min",GB,11th,4,121,78,895,0,4,40,0,0,0,14.7,5000,2.94,Sun 1:00,,,,,,,,,,,,,,
"Mitchell Trubisky, Chi",@Bal,5th,1,25,12,128,1,1,22,0,1,1,11.3,5000,2.26,Sun 1:00,,,,,,,,,,,,,,
"Jay Cutler, Mia",@Atl,12th,4,131,82,706,3,3,21,0,1,0,9.8,4900,2.01,Sun 1:00,,,,,,,,,,,,,,
"Eli Manning, NYG",@Den,16th,5,202,137,"1,338",5,8,21,1,3,1,18.1,4800,3.78,Sun 8:30,,,,,,,,,,,,,,
"E.J. Manuel, Oak",LAC,13th,2,43,24,265,1,1,15,0,0,0,7.5,4800,1.57,Sun 4:25,,,,,,,,,,,,,,
"Matt Cassel, Ten",Ind,31st,2,42,25,162,2,1,0,0,2,2,3.2,4700,0.69,Mon 8:30,,,,,,,,,,,,,,
"Patrick Mahomes, KC",Pit,2nd,--,--,--,--,--,--,--,--,--,--,0,4700,0,Sun 4:25,,,,,,,,,,,,,,
"Colt McCoy, Was",SF,20th,--,--,--,--,--,--,--,--,--,--,0,4700,0,Sun 1:00,,,,,,,,,,,,,,
"Blake Bortles, Jax",LA,15th,5,135,74,827,4,7,107,0,1,1,13.4,4600,2.9,Sun 4:05,,,,,,,,,,,,,,
"Chase Daniel, NO",Det,10th,--,--,--,--,--,--,--,--,--,--,0,4600,0,Sun 1:00,,,,,,,,,,,,,,
"Kevin Hogan, Cle",@Hou,28th,3,38,26,377,2,3,35,0,0,0,9.5,4600,2.07,Sun 1:00,,,,,,,,,,,,,,
"DeShone Kizer, Cle",@Hou,28th,5,159,81,851,9,3,126,2,3,2,11.9,4600,2.59,Sun 1:00,,,,,,,,,,,,,,
"Cardale Jones, LAC",@Oak,17th,--,--,--,--,--,--,--,--,--,--,0,4500,0,Sun 4:25,,,,,,,,,,,,,,
"Landry Jones, Pit",@KC,26th,--,--,--,--,--,--,--,--,--,--,0,4500,0,Sun 4:25,,,,,,,,,,,,,,
"Matt Moore, Mia",@Atl,12th,--,--,--,--,--,--,--,--,--,--,0,4500,0,Sun 1:00,,,,,,,,,,,,,,
"Geno Smith, NYG",@Den,16th,--,--,--,--,--,--,--,--,--,--,0,4500,0,Sun 8:30,,,,,,,,,,,,,,
"Ryan Fitzpatrick, TB",@Ari,25th,1,1,0,0,0,0,-2,0,0,0,-0.2,4400,-0.05,Sun 4:05,,,,,,,,,,,,,,
"Nick Foles, Phi",@Car,8th,--,--,--,--,--,--,--,--,--,--,0,4400,0,Thu 8:25,,,,,,,,,,,,,,
"Mike Glennon, Chi",@Bal,5th,4,140,93,833,5,4,4,0,5,3,11.2,4400,2.54,Sun 1:00,,,,,,,,,,,,,,
"Blaine Gabbert, Ari",TB,30th,--,--,--,--,--,--,--,--,--,--,0,4300,0,Sun 4:05,,,,,,,,,,,,,,
"Chad Henne, Jax",LA,15th,1,2,0,0,0,0,-3,0,0,0,-0.3,4300,-0.07,Sun 4:05,,,,,,,,,,,,,,
"Tom Savage, Hou",Cle,27th,2,13,7,62,0,0,0,0,2,2,0.2,4300,0.06,Sun 1:00,,,,,,,,,,,,,,
"Matt Schaub, Atl",Mia,9th,--,--,--,--,--,--,--,--,--,--,0,4300,0,Sun 1:00,,,,,,,,,,,,,,
"Scott Tolzien, Ind",@Ten,29th,1,18,9,128,2,0,2,0,1,0,3.3,4300,0.77,Mon 8:30,,,,,,,,,,,,,,
"C.J. Beathard, SF",@Was,18th,1,0,0,0,0,0,0,0,0,0,0,4200,0,Sun 1:00,,,,,,,,,,,,,,
"Brett Hundley, GB",@Min,7th,1,1,1,0,0,0,0,0,0,0,0,4200,0,Sun 1:00,,,,,,,,,,,,,,
"Sean Mannion, LA",@Jax,1st,1,1,1,12,0,0,-7,0,0,0,-0.2,4200,-0.05,Sun 4:05,,,,,,,,,,,,,,
"Jake Rudock, Det",@NO,24th,1,0,0,0,0,0,0,0,0,0,0,4200,0,Sun 1:00,,,,,,,,,,,,,,
"Brock Osweiler, Den",NYG,21st,--,--,--,--,--,--,--,--,--,--,0,4100,0,Sun 8:30,,,,,,,,,,,,,,
"Brandon Allen, LA",@Jax,1st,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 4:05,,,,,,,,,,,,,,
"Tyler Bray, KC",Pit,2nd,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 4:25,,,,,,,,,,,,,,
"Teddy Bridgewater, Min",GB,11th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 1:00,,,,,,,,,,,,,,
"Kellen Clemens, LAC",@Oak,17th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 4:25,,,,,,,,,,,,,,
"Connor Cook, Oak",LAC,13th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 4:25,,,,,,,,,,,,,,
"Joshua Dobbs, Pit",@KC,26th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 4:25,,,,,,,,,,,,,,
"Ryan Griffin, TB",@Ari,25th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 4:05,,,,,,,,,,,,,,
"Christian Hackenberg, NYJ",NE,32nd,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 1:00,,,,,,,,,,,,,,
"Taysom Hill, NO",Det,10th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 1:00,,,,,,,,,,,,,,
"Brad Kaaya, Car",Phi,22nd,--,--,--,--,--,--,--,--,--,--,0,4000,0,Thu 8:25,,,,,,,,,,,,,,
"Chad Kelly, Den",NYG,21st,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 8:30,,,,,,,,,,,,,,
"Cody Kessler, Cle",@Hou,28th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 1:00,,,,,,,,,,,,,,
"Paxton Lynch, Den",NYG,21st,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 8:30,,,,,,,,,,,,,,
"Ryan Mallett, Bal",Chi,14th,1,9,6,36,0,1,0,0,0,0,5.4,4000,1.36,Sun 1:00,,,,,,,,,,,,,,
"Bryce Petty, NYJ",NE,32nd,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 1:00,,,,,,,,,,,,,,
"Mark Sanchez, Chi",@Bal,5th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 1:00,,,,,,,,,,,,,,
"Kyle Sloter, Min",GB,11th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 1:00,,,,,,,,,,,,,,
"Drew Stanton, Ari",TB,30th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 4:05,,,,,,,,,,,,,,
"Davis Webb, NYG",@Den,16th,--,--,--,--,--,--,--,--,--,--,0,4000,0,Sun 8:30,,,,,,,,,,,,,,
"Brandon Weeden, Ten",Ind,31st,--,--,--,--,--,--,--,--,--,--,0,4000,0,Mon 8:30,,,,,,,,,,,,,,
